cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
121,MEERUT,MRH3,Vijay Nagar Meerut,NA,2,homeo,,77.7095871,28.986092
141,JAIPUR,JA2,JANTA COLONY,NA,3,alopathic,,75.83695221,26.907198
191,JAMMU,JT01,Jammu,NA,4,alopathic,0194-2520777,74.85848999,32.72272
20,PUNE,PU03,Camp,NA,3,alopathic,020-26455163,73.87445831,18.50474
20,PUNE,PU04,Kasba Peth,NA,1,alopathic,020-25652045,73.85990143,18.51888
20,PUNE,PUA7,Ayurvedic Mukund Nagar,NA,1,ayurvedic,,73.85716248,18.493698
20,PUNE,PUH3,Homeopathic Camp Pune,NA,2,homeo,,73.87451172,18.504625
22,MUMBAI,MU19,Mulund,NA,3,alopathic,022–25616267,72.94424438,19.172121
22,MUMBAI,MU2,Peddar Road,NA,1,alopathic,022–23516680,72.81027985,18.972956
22,MUMBAI,MU20,Kandivali,NA,5,alopathic,022–28677353,72.82310486,19.215654
22,MUMBAI,MU21,"Sahar, Andheri (W)",NA,1,alopathic,022–28210959,72.85985565,19.10255
22,MUMBAI,MU24,"KUJURMARG, POWAL",NA,5,alopathic,022–25784026,72.9233551,19.126501
33,KOLKATA,KO1,Belvedere,NA,3,alopathic,24791153,88.34654999,22.52668
33,KOLKATA,KO11,Santagachi,NA,4,alopathic,26571526,88.28018188,22.593863
33,KOLKATA,KO13,Airport,NA,7,alopathic,25119442,88.42630005,22.63621
33,KOLKATA,KO14,Lake Town,NA,2,alopathic,25222137,88.40235901,22.608047
33,KOLKATA,KO16,Salt Lake EB,NA,5,alopathic,23344849,88.4071579,22.586054
33,KOLKATA,KO18,Salt Lake IC,NA,11,alopathic,23353427,88.41448212,22.571302
33,KOLKATA,KO3,Doverlane,NA,8,alopathic,24619292,88.358078,22.518232
361,GUWAHATI,GT2,Narengi,NA,4,alopathic,9.19854E+11,91.82079315,26.175413
364,SHILLONG,SH2,Wellness Centre Opp. Raj Bhawan,NA,3,alopathic,0364-2504451,91.88684082,25.5722
40,HYDERABAD,HY4,Begumpet,NA,6,alopathic,040-27904259,78.47244263,17.445042
40,HYDERABAD,HY9,Alwal,NA,5,alopathic,040-27972563,78.5062027,17.50906
44,CHENNAI,CH05,GUINDY,NA,4,alopathic,044-23458405,80.22173309,13.010337
44,CHENNAI,CH09,NUNGAMBAKKAM,NA,3,alopathic,044-23458409,80.24804688,13.066692
44,CHENNAI,CH13,TRIPLICANE,NA,1,alopathic,044-23458413,80.28663635,13.069741
471,TRIVANDRUM,TR3,Vanchiyoor,NA,3,alopathic, 0471-2471143,76.94612122,8.533302
512,KANPUR,KN2,R. K. NAGAR,NA,3,alopathic,0512-2542379,80.31963348,26.470814
512,KANPUR,KN6,Raksha Vihar,NA,4,alopathic,0512-2424311,80.36140442,26.422136
522,LUCKNOW,LK7,GOL Market,NA,6,alopathic,0522-2321432,80.95939636,26.873436
522,LUCKNOW,LK8,PMG Office Hazaratganj,NA,3,alopathic,0522-2230077,80.91566467,26.86548
532,ALLAHABAD,AL04,New Katra,NA,3,alopathic,0532-2642457,81.85340881,25.47363
532,ALLAHABAD,AL07,Naini,NA,2,alopathic,0532-2697132,81.86972809,25.39662
532,ALLAHABAD,AL08,CGHS Polyclinic Sangam Place,NA,7,alopathic,0532-2560578,81.83052063,25.450197
612,PATNA,PA4,Boring Canal Road,NA,3,alopathic,0612-2532816,85.12309265,25.61814
712,NAGPUR,NP1,Katol Road,NA,10,alopathic,0712-2581773,79.06645966,21.169672
712,NAGPUR,NP4,Itwari,NA,4,alopathic,0712- 2564600,79.11899567,21.151142
712,NAGPUR,NP9,Sakkardara,NA,2,alopathic,0712- 2749379,79.1163559,21.130936
755,BHOPAL,BP2,Vasant Kunj,NA,5,alopathic,0755- 2566977,77.4347229,23.200207
79,AHMEDABAD,AH08,Laldarwaja,NA,4,alopathic,079 25506622,72.58381653,23.027882
80,BENGALURU,BA01,Wellness Center Shivajinagar,NA,5,alopathic,080-25588777,77.60336304,12.980318
80,BENGALURU,BA03,Wellness Center Basavangudi,NA,3,alopathic,080 2667300,77.54733276,12.935114
80,BENGALURU,BA07,Wellness Center Koramangala,NA,4,alopathic,080 25539277,77.62081909,12.92536
80,BENGALURU,BA12,KA AYUR1 BASAVANAGUDI,NA,2,ayurvedic,,77.54707336,12.934715
80,BENGALURU,BA13,KA AYUR2 DOMLUR,NA,2,ayurvedic,,77.64003754,12.960297
